student_id,course_id,weekly_login_frequency,average_session_time,content_completion_rate,forum_participation_score,assessment_timeliness
16535,143,0.0,19.63,0.57,0.0,0.46
12564,61,0.0,15.66,0.8,0.0,0.46
19754,66,0.0,2.46,0.64,0.0,0.49
19461,16,0.0,7.24,0.25,0.1,0.44
7024,158,0.0,7.96,0.41,0.1,0.5
14817,174,1.0,6.89,0.38,0.0,0.48
3968,77,0.0,6.28,0.5,0.0,0.49
17262,120,1.0,1.0,0.82,0.0,0.47
12383,127,1.0,11.13,0.49,0.0,0.57
15797,132,0.0,1.92,0.46,0.0,0.45
7514,3,1.0,40.9,0.4,0.0,0.62
2666,53,0.0,1.0,0.37,0.0,0.62
9474,85,0.0,14.83,0.23,0.0,0.44
10179,153,0.0,27.47,0.24,0.0,0.5
4287,100,0.0,12.2,0.5,0.0,0.49
8659,173,0.0,18.58,0.41,0.1,0.44
5375,66,1.0,1.2,0.46,0.0,0.46
7371,63,0.0,31.64,0.47,0.0,0.57
14827,78,1.0,1.29,0.3,0.0,0.45
10001,26,0.0,8.47,0.17,0.0,0.47
9568,21,0.0,10.43,0.29,0.1,0.43
7233,98,0.0,6.65,0.48,0.0,0.57
15054,47,0.0,1.88,0.61,0.0,0.49
10151,5,0.0,1.0,0.61,0.0,0.52
2378,110,0.0,37.95,0.39,0.0,0.58
1334,90,0.0,7.01,0.26,0.1,0.46
5774,152,0.0,2.74,0.31,0.0,0.53
11383,161,0.0,37.53,0.39,0.0,0.57
10803,50,0.0,1.0,0.68,0.1,0.51
2717,160,1.0,23.31,0.77,0.0,0.43
9502,76,0.0,1.0,0.46,0.1,0.53
16093,78,1.0,5.2,0.68,0.0,0.6
12150,82,0.0,1.64,0.19,0.0,0.48
9060,72,0.0,5.46,0.51,0.0,0.49
3575,127,0.0,4.2,0.78,0.0,0.29
2944,58,1.0,7.17,0.16,0.0,0.57
15535,53,0.0,1.84,0.58,0.1,0.71
18291,138,0.0,3.08,0.64,0.0,0.47
14819,11,1.0,26.45,0.36,0.0,0.54
11241,40,1.0,13.31,0.37,0.0,0.85
6570,170,0.0,3.25,0.48,0.0,0.5
16531,162,0.0,4.0,0.65,0.1,0.49
2789,163,0.0,16.3,0.55,0.1,0.67
2399,88,1.0,3.42,0.61,0.0,0.48
19081,18,0.0,1.0,0.18,0.1,0.41
19628,135,0.0,16.05,0.44,0.1,0.59
4461,35,1.0,11.85,0.43,0.0,0.43
1529,179,1.0,20.26,0.42,0.0,0.59
7755,78,0.0,28.38,0.75,0.0,0.45
15421,175,0.0,1.68,0.49,0.1,0.89
13841,106,1.0,3.18,0.6,0.0,0.51
10333,162,1.0,19.83,0.44,0.0,0.49
32,179,1.0,14.99,0.5,0.0,0.49
7672,165,0.0,14.71,0.45,0.0,0.78
17757,3,0.0,20.31,0.53,0.1,0.43
16000,124,0.0,4.33,0.78,0.0,0.53
12594,117,0.0,1.0,0.42,0.1,0.58
1069,37,1.0,11.26,0.49,0.0,0.53
19291,24,0.0,11.11,0.36,0.0,0.51
15463,66,0.0,21.59,0.14,0.0,0.53
6689,129,0.0,22.38,0.37,0.0,0.52
18304,157,1.0,7.05,0.17,0.0,0.83
19846,72,0.0,4.69,0.36,0.0,0.39
10757,107,0.0,18.51,0.52,0.0,0.39
15369,38,1.0,1.22,0.73,0.0,0.45
8145,13,0.0,10.12,0.31,0.0,0.42
9875,104,0.0,8.79,0.22,0.0,0.41
14039,20,0.0,43.84,0.56,0.0,0.56
7253,118,0.0,2.25,0.31,0.1,0.57
6737,34,0.0,47.71,0.76,0.0,0.55
16528,89,1.0,20.66,0.14,0.0,0.51
15236,103,1.0,16.2,0.47,0.0,0.51
5239,120,0.0,16.83,0.33,0.0,0.44
3059,144,0.0,9.25,0.3,0.0,0.44
14018,117,0.0,8.15,0.52,0.0,0.52
10849,109,0.0,24.18,0.64,0.1,0.53
18039,124,0.0,3.89,0.59,0.0,0.51
10336,67,0.0,40.73,0.62,0.0,0.47
19925,132,0.0,8.31,0.4,0.0,0.48
4695,179,0.0,8.63,0.44,0.0,0.69
3576,52,0.0,5.61,0.64,0.0,0.49
13135,149,0.0,14.24,0.55,0.1,0.44
10271,118,0.0,9.07,0.53,0.1,0.42
5522,57,1.0,26.65,0.73,0.0,0.49
13149,157,0.0,7.83,0.74,0.0,0.48
3843,1,0.0,20.51,0.86,0.0,0.49
6676,50,1.0,13.61,0.33,0.0,0.52
885,116,0.0,1.0,0.59,0.0,0.4
2171,169,1.0,3.16,0.28,0.0,0.54
6969,10,0.0,1.88,0.6,0.1,0.55
8251,89,0.0,3.93,0.48,0.0,0.59
16395,78,0.0,30.84,0.56,0.1,0.5
17417,127,0.0,6.15,0.42,0.1,0.46
6513,42,0.0,30.19,0.35,0.1,0.44
3144,99,1.0,11.27,0.38,0.0,0.62
4787,63,1.0,20.45,0.45,0.0,0.53
14004,94,1.0,5.79,0.54,0.0,0.51
7935,39,0.0,1.43,0.78,0.0,0.51
4430,105,0.0,10.62,0.56,0.0,0.47
10790,54,1.0,1.0,0.42,0.0,0.54
16846,82,0.0,1.68,0.28,0.1,0.51
16836,73,0.0,8.52,0.57,0.0,0.59
11230,145,0.0,17.46,0.38,0.0,0.46
6989,162,1.0,10.84,0.28,0.0,0.48
12725,113,0.0,21.83,0.33,0.0,0.54
677,81,0.0,8.64,0.48,0.0,0.49
3676,72,0.0,4.0,0.58,0.1,0.54
11156,54,1.0,15.38,0.24,0.0,0.56
14571,115,0.0,10.46,0.66,0.0,0.47
14813,57,1.0,15.97,0.44,0.0,0.48
16927,121,1.0,15.14,0.53,0.0,0.56
590,89,0.0,44.9,0.35,0.0,0.48
10118,152,1.0,26.2,0.27,0.0,0.47
18587,93,0.0,5.75,0.41,0.0,0.49
14902,126,1.0,36.27,0.32,0.0,0.54
12579,6,0.0,13.79,0.44,0.0,0.55
4734,54,0.0,10.32,0.44,0.0,0.45
3842,60,0.0,5.17,0.34,0.0,0.53
2917,170,0.0,1.17,0.72,0.0,0.43
5103,14,1.0,26.34,0.27,0.0,0.51
1296,81,0.0,1.0,0.43,0.0,0.38
15617,57,0.0,1.38,0.49,0.0,0.55
4427,78,0.0,13.1,0.44,0.0,0.49
19549,86,0.0,10.25,0.33,0.0,0.44
19348,100,0.0,12.04,0.63,0.0,0.54
7502,38,1.0,4.86,0.11,0.0,0.46
9787,9,1.0,12.9,0.79,0.0,0.53
7794,87,0.0,1.0,0.75,0.1,0.91
8448,135,0.0,5.8,0.54,0.0,0.48
7026,38,0.0,7.52,0.73,0.1,0.49
13003,143,0.0,24.32,0.72,0.0,0.56
10993,131,1.0,47.01,0.33,0.0,0.46
9792,176,1.0,6.34,0.53,0.0,0.78
6467,87,0.0,16.87,0.77,0.1,0.45
9138,62,0.0,25.54,0.66,0.0,0.48
14975,43,1.0,3.11,0.56,0.0,0.54
11015,57,1.0,33.66,0.5,0.0,0.57
9956,150,0.0,16.51,0.55,0.0,0.49
12850,96,0.0,36.1,0.31,0.0,0.45
12791,175,0.0,47.8,0.41,0.0,1.0
3585,38,0.0,17.95,0.51,0.1,0.5
19094,1,1.0,24.22,0.35,0.0,0.51
5062,81,0.0,7.22,0.44,0.0,0.89
12879,57,0.0,19.6,0.56,0.1,0.58
1444,7,0.0,9.91,0.34,0.0,0.47
11261,125,0.0,32.9,0.38,0.0,0.59
2893,53,0.0,8.33,0.58,0.0,0.47
5812,90,0.0,10.59,0.5,0.0,0.64
19468,180,0.0,67.99,0.34,0.0,0.74
7416,5,0.0,16.02,0.54,0.0,0.47
17368,12,0.0,18.44,0.62,0.0,0.5
1938,9,0.0,35.58,0.17,0.1,0.47
3513,138,0.0,1.42,0.61,0.0,0.58
14720,41,1.0,2.25,0.6,0.0,0.41
7842,99,0.0,12.08,0.49,0.0,0.45
12153,120,0.0,32.15,0.41,0.1,0.45
9447,76,0.0,2.07,0.66,0.1,0.54
8497,96,0.0,1.51,0.71,0.0,0.51
8146,180,0.0,39.55,0.69,0.0,0.54
15147,163,0.0,1.0,0.56,0.0,0.48
11553,35,0.0,21.91,0.47,0.0,0.58
16867,121,1.0,3.04,0.53,0.0,0.35
7301,90,0.0,17.18,0.22,0.1,0.54
11158,116,0.0,56.47,0.62,0.0,0.57
4269,19,0.0,1.76,0.64,0.0,0.44
6201,30,0.0,5.43,0.52,0.1,0.53
4418,43,0.0,1.43,0.5,0.0,0.51
1995,34,0.0,12.91,0.4,0.0,0.62
10017,41,0.0,20.55,0.28,0.1,0.51
18334,45,0.0,26.2,0.27,0.0,0.58
9,177,1.0,1.42,0.72,0.0,0.52
5987,4,0.0,9.9,0.79,0.0,0.49
13025,146,1.0,1.0,0.58,0.0,0.36
4627,61,0.0,16.5,0.52,0.1,0.56
7898,48,0.0,13.85,0.43,0.0,0.51
6092,1,0.0,17.94,0.59,0.0,0.48
7448,153,0.0,27.38,0.7,0.1,0.42
3522,119,0.0,27.66,0.53,0.0,0.58
15688,113,0.0,44.97,0.5,0.0,0.42
8245,83,1.0,4.05,0.6,0.0,0.51
9762,111,0.0,9.09,0.72,0.0,0.47
3690,173,1.0,26.77,0.56,0.0,0.49
15946,146,0.0,15.77,0.41,0.0,0.55
2775,75,0.0,5.95,0.4,0.0,0.54
633,31,0.0,1.0,0.43,0.0,0.51
19570,150,1.0,3.6,0.53,0.0,0.45
1369,89,1.0,1.0,0.47,0.0,0.51
17581,125,0.0,7.89,0.59,0.0,0.5
1586,37,0.0,24.66,0.8,0.0,0.54
19627,148,0.0,1.96,0.74,0.0,0.52
19812,124,0.0,6.14,0.78,0.1,0.45
10902,157,0.0,3.78,0.65,0.0,0.46
5442,74,1.0,15.21,0.87,0.0,0.57
1926,173,0.0,9.13,0.62,0.0,0.51
4465,41,0.0,1.85,0.6,0.0,0.42
17615,136,0.0,27.55,0.56,0.0,0.49
19447,16,0.0,3.21,0.54,0.1,0.53
2918,54,0.0,24.15,0.55,0.1,0.51
694,17,0.0,4.27,0.36,0.0,0.56
9969,174,0.0,3.38,0.47,0.1,0.52
9851,11,0.0,3.71,0.36,0.1,0.46
10556,98,0.0,13.2,0.24,0.0,0.49
16242,18,0.0,12.56,0.39,0.0,0.56
1601,157,1.0,27.37,0.66,0.0,0.53
3073,29,0.0,28.21,0.25,0.0,0.5
11675,64,1.0,10.52,0.34,0.0,0.44
16343,4,0.0,4.61,0.63,0.0,0.45
11695,132,1.0,10.18,0.49,0.0,0.48
19644,83,1.0,24.37,0.48,0.0,0.51
10952,176,0.0,16.8,0.61,0.0,0.78
15483,3,1.0,2.15,0.4,0.0,0.48
440,126,0.0,3.21,0.65,0.0,0.55
3781,99,0.0,5.83,0.28,0.0,0.49
9098,148,0.0,3.61,0.24,0.0,0.39
17370,149,0.0,11.46,0.43,0.0,0.59
8914,42,0.0,4.24,0.68,0.1,0.45
16985,146,1.0,1.35,0.58,0.0,0.5
16166,171,0.0,14.53,0.38,0.0,0.48
6462,100,1.0,29.95,0.61,0.0,0.57
12287,28,0.0,41.84,0.54,0.0,0.46
9547,148,1.0,1.0,0.31,0.0,0.62
2714,169,0.0,1.0,0.53,0.0,0.91
712,130,0.0,9.14,0.7,0.0,0.43
9156,70,0.0,17.19,0.57,0.1,0.42
2311,149,0.0,21.24,0.48,0.1,0.5
4501,130,0.0,1.31,0.24,0.0,0.47
3170,153,1.0,28.35,0.52,0.0,0.47
4794,92,0.0,28.19,0.28,0.0,0.5
8566,6,0.0,13.97,0.57,0.0,0.47
16685,78,0.0,10.51,0.41,0.1,0.4
16028,41,1.0,5.5,0.87,0.0,0.49
12687,175,0.0,2.33,0.36,0.0,0.43
13713,36,0.0,21.33,0.49,0.0,0.43
7355,51,0.0,10.08,0.43,0.0,0.51
15077,93,0.0,8.4,0.83,0.0,0.58
9639,119,1.0,16.38,0.27,0.0,0.51
16149,98,1.0,1.65,0.84,0.0,0.54
18923,34,1.0,2.22,0.43,0.0,0.5
15133,41,1.0,1.05,0.28,0.0,0.46
18246,35,0.0,3.14,0.31,0.0,0.5
5117,180,0.0,7.49,0.22,0.1,0.48
6054,79,0.0,40.43,0.18,0.0,0.5
4731,148,1.0,2.81,0.54,0.0,0.48
15072,149,1.0,12.97,0.71,0.0,0.54
10422,117,0.0,2.19,0.38,0.0,0.45
18512,22,0.0,1.86,0.71,0.1,0.48
12294,97,1.0,40.52,0.78,0.0,0.51
16629,82,0.0,4.15,0.64,0.0,0.5
7500,11,1.0,23.87,0.37,0.0,0.41
4664,39,0.0,44.45,0.25,0.1,0.55
9504,83,0.0,1.0,0.73,0.0,0.46
1143,101,0.0,15.84,0.51,0.0,0.54
12883,9,1.0,12.3,0.18,0.0,0.49
16883,150,0.0,1.0,0.81,0.1,0.55
4751,137,1.0,11.26,0.6,0.0,0.5
1566,147,0.0,102.0,0.44,0.0,0.5
17287,50,0.0,22.26,0.8,0.0,0.45
18332,36,1.0,5.34,0.5,0.0,0.48
15674,170,0.0,27.97,0.37,0.0,0.51
9484,14,0.0,4.07,0.44,0.0,0.46
13130,32,0.0,27.61,0.37,0.0,0.39
280,170,0.0,8.75,0.39,0.0,0.49
904,26,1.0,3.1,0.71,0.0,0.46
15953,52,0.0,19.68,0.49,0.0,0.53
13638,102,0.0,34.28,0.68,0.0,0.48
15011,132,0.0,8.03,0.5,0.0,0.52
8429,3,0.0,9.59,0.33,0.0,0.42
18185,72,1.0,1.0,0.39,0.0,0.5
12514,130,0.0,21.61,0.71,0.0,0.58
13984,126,0.0,5.62,0.33,0.0,0.57
9992,110,0.0,30.01,0.24,0.1,0.57
3404,82,1.0,4.7,0.45,0.0,0.51
14376,23,0.0,18.82,0.46,0.0,0.45
15265,61,1.0,4.42,0.64,0.0,0.5
5451,44,1.0,13.05,0.52,0.0,0.53
4691,67,0.0,48.37,0.8,0.0,0.44
8278,28,0.0,33.94,0.67,0.0,0.52
7992,72,1.0,7.46,0.78,0.0,0.52
8717,139,1.0,23.25,0.6,0.0,0.54
3411,168,0.0,50.11,0.68,0.0,0.49
16920,180,1.0,2.14,0.46,0.0,0.86
16532,125,1.0,1.23,0.4,0.0,0.49
6444,158,1.0,2.95,0.59,0.0,0.54
17351,31,0.0,49.53,0.45,0.0,0.56
10574,142,0.0,18.31,0.47,0.0,0.47
1975,104,0.0,12.81,0.58,0.1,0.48
3935,147,0.0,2.83,0.47,0.0,0.43
4180,8,0.0,58.62,0.67,0.0,0.52
4747,146,1.0,18.67,0.46,0.0,0.46
160,81,1.0,4.0,0.49,0.0,0.54
4944,174,1.0,5.95,0.63,0.0,0.52
234,110,0.0,2.1,0.31,0.0,0.45
2512,120,1.0,1.66,0.39,0.0,0.51
443,69,0.0,5.33,0.31,0.1,0.6
2051,117,0.0,5.53,0.41,0.0,0.48
6580,141,1.0,16.63,0.65,0.0,0.55
14789,85,1.0,9.5,0.5,0.0,0.55
7117,168,1.0,1.0,0.39,0.0,0.53
4036,45,1.0,46.77,0.5,0.1,0.49
10228,122,1.0,44.17,0.77,0.0,0.46
159,111,0.0,1.13,0.22,0.0,0.42
19373,18,0.0,9.08,0.6,0.0,0.56
4629,144,0.0,17.27,0.56,0.0,0.63
11546,54,1.0,24.61,0.5,0.0,0.44
16022,129,0.0,15.43,0.37,0.0,0.54
5186,101,0.0,26.36,0.37,0.0,0.46
15528,143,0.0,15.04,0.56,0.1,0.48
1398,139,1.0,18.25,0.43,0.0,0.46
11588,88,1.0,4.77,0.24,0.0,0.6
12143,92,1.0,51.51,0.6,0.0,0.52
19926,9,0.0,28.01,0.75,0.1,0.48
13592,105,0.0,25.75,0.59,0.0,0.48
16754,87,0.0,6.68,0.57,0.0,0.5
6622,71,0.0,8.06,0.44,0.1,0.46
6080,112,0.0,6.76,0.38,0.0,0.55
18686,2,0.0,8.49,0.39,0.0,0.49
17780,133,0.0,7.3,0.41,0.0,0.51
13066,71,0.0,6.52,0.55,0.1,0.48
18364,123,0.0,30.51,0.32,0.1,0.36
16584,119,0.0,2.08,0.18,0.0,0.46
2082,39,1.0,7.41,0.57,0.0,0.48
1133,142,0.0,7.42,0.42,0.0,0.48
3898,132,1.0,7.41,0.6,0.0,0.44
13572,86,1.0,10.8,0.36,0.0,0.44
14737,178,0.0,16.28,0.59,0.1,0.4
10314,171,0.0,21.8,0.42,0.0,0.51
2013,126,0.0,14.18,0.47,0.0,0.53
7359,62,0.0,7.62,0.61,0.0,0.48
19115,112,0.0,8.06,0.39,0.0,0.45
1918,75,0.0,56.57,0.55,0.0,0.52
7914,59,0.0,27.32,0.58,0.0,0.52
9361,28,1.0,13.16,0.5,0.0,0.52
16722,90,0.0,42.54,0.75,0.0,0.5
14075,11,0.0,3.03,0.35,0.0,0.35
11355,81,0.0,10.21,0.66,0.0,0.82
5976,176,0.0,6.03,0.47,0.0,0.86
19712,154,0.0,2.67,0.52,0.0,0.51
357,75,0.0,15.33,0.23,0.0,0.48
12367,37,0.0,13.1,0.54,0.0,0.47
13041,49,0.0,56.86,0.37,0.0,0.53
6388,36,0.0,1.0,0.52,0.0,0.4
3911,102,1.0,1.0,0.25,0.0,0.45
18530,41,0.0,4.9,0.36,0.0,0.52
1359,13,1.0,1.35,0.31,0.0,0.54
19739,156,1.0,15.11,0.65,0.0,0.5
16134,42,0.0,21.87,0.58,0.1,0.49
5877,47,1.0,3.53,0.53,0.0,0.55
1995,170,1.0,34.55,0.5,0.0,0.51
9580,24,1.0,19.15,0.44,0.0,0.47
17305,60,0.2,9.98,0.47,0.0,0.52
3850,156,0.0,9.34,0.52,0.0,0.61
16127,102,0.0,4.65,0.63,0.1,0.5
5294,27,1.0,7.08,0.49,0.0,0.52
1585,96,0.0,13.29,0.26,0.0,0.39
19560,21,0.0,30.57,0.65,0.0,0.48
15440,138,1.0,1.0,0.29,0.0,0.74
15392,170,0.0,7.17,0.54,0.0,0.56
18240,3,1.0,3.11,0.68,0.0,0.52
3034,174,0.0,6.36,0.38,0.0,0.5
1329,13,1.0,21.43,0.73,0.0,0.47
1406,150,0.0,5.67,0.61,0.0,0.57
12542,173,0.0,14.98,0.29,0.0,0.52
18991,94,0.0,1.0,0.45,0.0,0.47
15344,101,0.0,1.6,0.67,0.1,0.45
9296,99,0.0,15.07,0.23,0.1,0.52
11428,69,0.0,20.57,0.8,0.0,0.56
16697,69,0.0,36.57,0.4,0.1,0.58
3749,129,0.0,3.2,0.48,0.0,0.34
16254,68,0.0,1.0,0.66,0.0,0.48
2244,38,0.0,5.82,0.7,0.1,0.47
13109,8,0.0,4.0,0.27,0.0,0.41
17174,77,0.0,13.78,0.68,0.0,0.45
13014,169,1.0,1.26,0.75,0.0,0.44
1014,80,0.0,2.78,0.38,0.1,0.57
2557,3,0.0,3.48,0.32,0.0,0.54
17820,171,1.0,21.13,0.47,0.0,0.75
4043,65,0.0,3.85,0.65,0.0,0.5
5932,122,0.0,14.59,0.7,0.0,0.47
13826,168,1.0,23.28,0.67,0.0,0.5
9282,17,1.0,3.72,0.31,0.0,0.43
16433,175,0.0,29.48,0.58,0.0,0.39
1741,73,0.0,32.54,0.56,0.0,0.51
11827,54,0.0,8.51,0.69,0.1,0.5
3304,44,0.0,23.87,0.26,0.0,0.46
6689,73,0.0,1.0,0.38,0.0,0.44
18423,55,1.0,13.01,0.35,0.0,0.5
19157,123,1.0,1.0,0.7,0.0,0.43
10705,124,0.0,1.83,0.23,0.1,0.45
19906,36,1.0,3.67,0.32,0.0,0.55
11617,39,1.0,7.08,0.89,0.0,0.47
819,77,0.0,25.29,0.32,0.0,0.61
9307,26,0.0,6.73,0.47,0.0,0.57
13536,117,0.0,8.67,0.39,0.0,0.54
5697,125,1.0,7.77,0.74,0.0,0.63
4593,59,0.0,3.15,0.79,0.1,0.48
10745,157,0.0,12.91,0.47,0.0,0.58
18070,91,0.0,1.0,0.35,0.1,0.77
13022,88,1.0,2.02,0.62,0.0,0.55
4875,128,1.0,68.14,0.73,0.0,0.47
6960,179,0.0,12.63,0.45,0.0,0.6
3377,143,1.0,1.44,0.78,0.0,0.6
5896,14,0.0,1.54,0.62,0.0,0.44
10242,53,1.0,17.4,0.7,0.0,0.48
1253,3,0.0,4.07,0.64,0.0,0.49
4115,86,0.0,13.44,0.62,0.0,0.58
19943,92,0.0,25.61,0.43,0.1,0.59
11805,32,1.0,22.89,0.47,0.0,0.41
12093,110,0.0,1.0,0.76,0.1,0.52
15060,119,0.0,9.23,0.6,0.1,0.51
4237,103,0.0,1.0,0.79,0.0,0.53
9406,134,1.0,11.87,0.29,0.0,0.84
385,134,1.0,1.65,0.41,0.0,0.63
4041,149,1.0,26.49,0.54,0.0,0.45
17559,148,1.0,11.06,0.56,0.0,0.71
4329,64,0.0,19.96,0.21,0.0,0.47
