student_id,course_id,final_grade,learning_gain_index,dropout_risk,course_satisfaction
16535,143,F,0.208,True,1
12564,61,F,0.254,True,1
19754,66,F,0.316,True,1
19461,16,F,0.235,True,1
7024,158,F,0.281,True,1
14817,174,F,0.318,True,1
3968,77,F,0.189,True,1
17262,120,F,0.258,True,1
12383,127,F,0.394,True,1
15797,132,F,0.223,True,1
7514,3,F,0.291,True,1
2666,53,F,0.252,True,1
9474,85,F,0.251,True,1
10179,153,F,0.253,True,1
4287,100,F,0.3,True,1
8659,173,F,0.305,True,1
5375,66,F,0.235,True,1
7371,63,F,0.34,True,1
14827,78,F,0.311,True,1
10001,26,F,0.272,True,1
9568,21,F,0.239,True,1
7233,98,F,0.248,True,1
15054,47,F,0.298,True,1
10151,5,F,0.295,True,1
2378,110,F,0.3,True,1
1334,90,F,0.202,True,1
5774,152,F,0.262,True,1
11383,161,F,0.256,True,1
10803,50,F,0.301,True,1
2717,160,F,0.309,True,1
9502,76,F,0.34,True,1
16093,78,F,0.359,True,1
12150,82,F,0.202,True,1
9060,72,F,0.154,True,1
3575,127,F,0.264,True,1
2944,58,F,0.28,True,1
15535,53,F,0.315,True,1
18291,138,F,0.263,True,1
14819,11,F,0.25,True,1
11241,40,F,0.414,True,1
6570,170,F,0.276,True,1
16531,162,F,0.261,True,1
2789,163,F,0.364,True,1
2399,88,F,0.228,True,1
19081,18,F,0.171,True,1
19628,135,F,0.302,True,1
4461,35,F,0.172,True,1
1529,179,F,0.281,True,1
7755,78,F,0.3,True,1
15421,175,F,0.458,True,2
13841,106,F,0.311,True,1
10333,162,F,0.254,True,1
32,179,F,0.253,True,1
7672,165,F,0.359,True,1
17757,3,F,0.28,True,1
16000,124,F,0.358,True,1
12594,117,F,0.258,True,1
1069,37,F,0.29,True,1
19291,24,F,0.323,True,1
15463,66,F,0.239,True,1
6689,129,F,0.223,True,1
18304,157,F,0.331,True,1
19846,72,F,0.191,True,1
10757,107,F,0.321,True,1
15369,38,F,0.211,True,1
8145,13,F,0.278,True,1
9875,104,F,0.143,True,1
14039,20,F,0.387,True,1
7253,118,F,0.22,True,1
6737,34,F,0.212,True,1
16528,89,F,0.31,True,1
15236,103,F,0.209,True,1
5239,120,F,0.27,True,1
3059,144,F,0.251,True,1
14018,117,F,0.321,True,1
10849,109,F,0.318,True,1
18039,124,F,0.282,True,1
10336,67,F,0.344,True,1
19925,132,F,0.235,True,1
4695,179,F,0.229,True,1
3576,52,F,0.274,True,1
13135,149,F,0.314,True,1
10271,118,F,0.272,True,1
5522,57,F,0.263,True,1
13149,157,F,0.288,True,1
3843,1,F,0.197,True,1
6676,50,F,0.277,True,1
885,116,F,0.315,True,1
2171,169,F,0.27,True,1
6969,10,F,0.302,True,1
8251,89,F,0.253,True,1
16395,78,F,0.333,True,1
17417,127,F,0.343,True,1
6513,42,F,0.285,True,1
3144,99,F,0.261,True,1
4787,63,F,0.349,True,1
14004,94,F,0.348,True,1
7935,39,F,0.43,True,1
4430,105,F,0.276,True,1
10790,54,F,0.315,True,1
16846,82,F,0.361,True,1
16836,73,F,0.267,True,1
11230,145,F,0.297,True,1
6989,162,F,0.209,True,1
12725,113,F,0.251,True,1
677,81,F,0.285,True,1
3676,72,F,0.246,True,1
11156,54,F,0.259,True,1
14571,115,F,0.455,True,1
14813,57,F,0.288,True,1
16927,121,F,0.264,True,1
590,89,F,0.301,True,1
10118,152,F,0.187,True,1
18587,93,F,0.241,True,1
14902,126,F,0.242,True,1
12579,6,F,0.322,True,1
4734,54,F,0.361,True,1
3842,60,F,0.278,True,1
2917,170,F,0.289,True,1
5103,14,F,0.212,True,1
1296,81,F,0.321,True,1
15617,57,F,0.318,True,1
4427,78,F,0.298,True,1
19549,86,F,0.224,True,1
19348,100,F,0.277,True,1
7502,38,F,0.249,True,1
9787,9,F,0.258,True,1
7794,87,F,0.384,True,2
8448,135,F,0.23,True,1
7026,38,F,0.269,True,1
13003,143,F,0.332,True,1
10993,131,F,0.24,True,1
9792,176,F,0.381,True,1
6467,87,F,0.319,True,1
9138,62,F,0.249,True,1
14975,43,F,0.258,True,1
11015,57,F,0.247,True,1
9956,150,F,0.28,True,1
12850,96,F,0.363,True,1
12791,175,F,0.436,True,1
3585,38,F,0.303,True,1
19094,1,F,0.296,True,1
5062,81,F,0.387,True,2
12879,57,F,0.306,True,1
1444,7,F,0.208,True,1
11261,125,F,0.222,True,1
2893,53,F,0.308,True,1
5812,90,F,0.313,True,1
19468,180,F,0.343,True,1
7416,5,F,0.279,True,1
17368,12,F,0.322,True,1
1938,9,F,0.314,True,1
3513,138,F,0.221,True,1
14720,41,F,0.343,True,1
7842,99,F,0.219,True,1
12153,120,F,0.25,True,1
9447,76,F,0.299,True,1
8497,96,F,0.319,True,1
8146,180,F,0.29,True,1
15147,163,F,0.232,True,1
11553,35,F,0.296,True,1
16867,121,F,0.232,True,1
7301,90,F,0.349,True,1
11158,116,F,0.298,True,1
4269,19,F,0.262,True,1
6201,30,F,0.259,True,1
4418,43,F,0.265,True,1
1995,34,F,0.304,True,1
10017,41,F,0.213,True,1
18334,45,F,0.327,True,1
9,177,F,0.401,True,1
5987,4,F,0.13,True,1
13025,146,F,0.182,True,1
4627,61,F,0.233,True,1
7898,48,F,0.24,True,1
