student_id,gender,age,admission_type,program,specialization,socioeconomic_index,first_gen_learner,baseline_digital_literacy,enrollment_year
1,Male,23,Merit,B.Tech,AI,1,False,0.23286163004100052,2022
2,Female,19,Merit,MCA,IT,1,False,0.8538072998897906,2020
3,Female,21,Management,B.Tech,CSE,1,False,0.5355728638628182,2021
4,Female,24,Management,B.Tech,IT,5,False,0.7799141290793092,2022
5,Male,23,Merit,B.Tech,CSE,4,False,0.3024428849507528,2020
6,Male,26,Merit,M.Tech,AI,5,False,0.19627617366959063,2022
7,Male,24,Management,B.Tech,DS,2,False,0.24560565055211334,2020
8,Female,18,Merit,B.Tech,IT,3,False,0.7748955587696245,2022
9,Female,23,Merit,B.Tech,CSE,4,False,0.9717980883836252,2022
10,Female,20,Merit,B.Tech,CSE,2,False,0.5695895495145494,2019
11,Male,25,Management,B.Tech,CSE,4,True,0.2562914471315403,2022
12,Female,18,Merit,B.Tech,AI,2,True,0.9217809695947852,2022
13,Female,19,Merit,B.Tech,DS,3,False,0.5249972238095071,2020
14,Male,20,Merit,B.Tech,DS,3,True,0.8036541463439909,2021
15,Male,20,Merit,B.Tech,AI,4,False,0.7768986033297977,2022
16,Male,24,Merit,B.Tech,IT,5,False,0.4311373613020695,2021
17,Male,25,Management,B.Tech,DS,2,False,0.7230195125411852,2019
18,Male,26,Merit,B.Tech,AI,3,True,0.18936376756421924,2021
19,Male,24,Transfer,MCA,CSE,2,True,0.5290672061900521,2020
20,Male,25,Merit,B.Tech,CSE,1,False,0.504759813594172,2021
21,Female,23,Merit,B.Tech,IT,5,False,0.5796410858261599,2020
22,Male,19,Merit,B.Tech,CSE,5,True,0.2833622232610993,2021
23,Male,18,Merit,B.Tech,AI,4,False,0.2856806020241284,2022
24,Male,20,Merit,MCA,AI,2,False,0.8711575020425195,2021
25,Male,26,Management,B.Tech,CSE,2,False,0.368134560112373,2022
26,Female,24,Merit,B.Tech,AI,3,False,0.2585965087692371,2019
27,Male,19,Merit,B.Tech,CSE,1,True,0.4106342720018684,2021
28,Male,18,Management,M.Tech,CSE,1,True,0.5358810684218623,2020
29,Female,19,Merit,B.Tech,IT,2,False,0.2929211831201033,2022
30,Male,20,Merit,M.Tech,AI,3,True,0.6763181156237749,2020
31,Female,23,Merit,B.Tech,AI,5,False,0.4831966809588397,2022
32,Male,26,Merit,B.Tech,CSE,4,False,0.7974302904510319,2022
33,Male,25,Management,B.Tech,IT,5,False,0.6836785316418816,2020
34,Female,26,Merit,MCA,IT,1,True,0.9913723932119886,2021
35,Female,25,Management,B.Tech,CSE,1,False,0.6988569374522183,2019
36,Female,24,Management,B.Tech,DS,2,False,0.25817476773594084,2020
37,Male,23,Merit,B.Tech,IT,1,True,0.42755551348707244,2020
38,Male,25,Merit,MCA,CSE,3,False,0.9110387858540665,2020
39,Female,23,Management,B.Tech,AI,5,False,0.8043290345267858,2022
40,Male,19,Management,MCA,DS,2,False,0.9757174294627179,2019
41,Male,26,Merit,B.Tech,CSE,3,False,0.3751144282135559,2021
42,Male,26,Management,B.Tech,CSE,3,False,1.0,2020
43,Male,20,Management,B.Tech,CSE,4,True,0.3894666993856015,2021
44,Female,26,Merit,B.Tech,AI,1,True,0.22325254186605725,2020
45,Male,19,Management,B.Tech,DS,1,False,0.6087895400083781,2021
46,Female,20,Merit,M.Tech,CSE,3,False,0.3252507732067141,2022
47,Male,23,Merit,B.Tech,IT,2,True,0.8536922364462234,2019
48,Male,21,Merit,B.Tech,AI,3,True,0.4826377760792766,2020
49,Male,25,Merit,B.Tech,DS,3,True,0.8955882272808441,2021
50,Male,18,Management,B.Tech,IT,1,True,0.8751867723643314,2022
51,Female,23,Merit,B.Tech,CSE,5,True,0.5972856814419042,2020
52,Female,19,Merit,B.Tech,DS,1,False,0.16109825516538065,2019
53,Female,23,Management,MCA,IT,4,False,0.9913328249097583,2020
54,Female,18,Merit,M.Tech,IT,4,False,0.5984493531651923,2020
55,Female,19,Merit,B.Tech,CSE,2,True,0.3789600316992807,2020
56,Female,26,Merit,B.Tech,DS,5,False,0.7880157489320149,2021
57,Male,23,Merit,B.Tech,AI,3,False,0.640055946028181,2020
58,Male,25,Management,B.Tech,CSE,5,True,0.4430087192233868,2019
59,Male,24,Merit,B.Tech,AI,1,False,0.670479104275365,2020
60,Male,26,Merit,B.Tech,DS,1,True,0.4561856399719184,2022
61,Male,26,Merit,M.Tech,IT,3,False,0.4358089649218613,2021
62,Male,21,Merit,B.Tech,CSE,3,False,1.0,2022
63,Female,24,Merit,B.Tech,CSE,4,False,0.826976049061404,2022
64,Male,22,Merit,B.Tech,AI,1,True,0.697887410954524,2020
65,Male,24,Merit,B.Tech,IT,1,False,0.8942626719192376,2022
66,Male,21,Merit,B.Tech,CSE,4,True,0.24756238845458747,2019
67,Male,18,Merit,B.Tech,IT,2,False,0.640656933640823,2022
68,Female,21,Merit,B.Tech,CSE,2,False,0.7703464668823213,2021
69,Male,20,Merit,M.Tech,AI,4,False,0.6133861229117815,2022
70,Other,26,Management,B.Tech,DS,1,False,0.8907462828479895,2019
71,Female,22,Management,M.Tech,AI,1,False,1.0,2019
72,Male,21,Merit,B.Tech,AI,2,False,0.8894478903740621,2021
73,Male,25,Management,M.Tech,IT,3,False,0.4763708789414247,2020
74,Female,22,Management,M.Tech,DS,3,True,0.9420448539291515,2022
75,Female,20,Merit,M.Tech,IT,4,False,1.0,2020
76,Female,19,Management,M.Tech,CSE,3,False,0.6560079934782973,2022
77,Female,25,Merit,B.Tech,CSE,2,False,0.7873542986061528,2022
78,Male,19,Management,B.Tech,IT,5,True,0.8764933968896659,2019
79,Male,25,Merit,M.Tech,DS,4,False,0.8673658750145252,2020
80,Male,22,Transfer,B.Tech,IT,1,False,0.8784201635065783,2019
81,Female,25,Merit,B.Tech,CSE,5,False,0.745812088660518,2022
82,Female,22,Merit,M.Tech,DS,2,False,0.7205477517904754,2021
83,Male,18,Management,B.Tech,AI,1,True,0.7842223320403134,2021
84,Male,19,Management,B.Tech,CSE,3,False,0.7172941284963368,2022
85,Male,23,Management,B.Tech,CSE,4,False,0.21076592426412777,2022
86,Male,20,Management,M.Tech,IT,3,True,0.36878493192897954,2022
87,Female,25,Management,M.Tech,IT,4,False,0.2801064138736507,2022
88,Female,22,Management,B.Tech,DS,2,False,0.9174792024372384,2020
89,Female,20,Merit,B.Tech,DS,2,False,0.2951519826587091,2020
90,Male,24,Merit,B.Tech,AI,1,True,0.29392730963931857,2022
91,Male,25,Merit,B.Tech,DS,4,False,0.6407634292264109,2020
92,Female,21,Management,B.Tech,DS,5,True,0.9681291930978686,2021
93,Female,26,Merit,MCA,IT,3,False,0.3147465008050492,2020
94,Female,23,Merit,B.Tech,DS,4,False,0.5324808558175688,2019
95,Female,18,Merit,B.Tech,IT,5,True,0.3982779988464177,2019
96,Male,22,Management,B.Tech,IT,3,False,0.12608029383123776,2021
97,Male,22,Merit,MCA,IT,2,False,0.8930736032586732,2019
98,Male,24,Merit,B.Tech,CSE,2,True,0.6745037325364153,2020
99,Male,24,Merit,B.Tech,IT,1,True,0.30877041408038686,2021
100,Male,23,Merit,M.Tech,IT,2,True,1.0,2019
101,Male,25,Merit,B.Tech,IT,2,False,0.356688930436743,2021
102,Female,19,Merit,B.Tech,IT,2,True,0.7939643981428458,2019
103,Male,24,Merit,B.Tech,CSE,4,True,0.6524706396027792,2020
104,Male,24,Management,B.Tech,CSE,1,True,0.8767764163455221,2019
105,Female,21,Management,B.Tech,CSE,4,False,0.43844902469645275,2019
106,Male,19,Merit,M.Tech,CSE,5,False,0.3955377966675243,2022
107,Male,21,Management,B.Tech,CSE,2,False,0.9647731076958802,2020
108,Female,21,Management,M.Tech,AI,5,True,0.40010259882640586,2022
109,Male,23,Management,MCA,CSE,5,True,0.39435167567566176,2022
110,Male,24,Merit,M.Tech,DS,4,False,0.32600002512905724,2022
111,Male,20,Merit,B.Tech,CSE,2,False,0.6416544645193878,2019
112,Male,18,Management,MCA,DS,4,False,0.6559915527668314,2019
113,Female,20,Merit,MCA,DS,3,True,0.7964803284450446,2020
114,Female,26,Merit,B.Tech,IT,3,True,1.0,2021
115,Female,18,Merit,B.Tech,AI,2,False,0.9086659431423002,2019
116,Female,25,Management,MCA,DS,5,False,0.4312104716345053,2021
117,Female,19,Merit,M.Tech,DS,4,False,0.3195581730055236,2020
118,Male,23,Merit,B.Tech,AI,5,True,0.3101374475984394,2021
119,Female,20,Management,MCA,DS,3,False,0.7792637215874151,2021
120,Male,24,Management,B.Tech,AI,4,False,0.601123313300306,2022
121,Female,19,Merit,B.Tech,DS,4,False,0.63847701948928,2020
122,Female,21,Merit,B.Tech,CSE,4,False,0.5847805661252686,2021
123,Male,26,Management,B.Tech,DS,2,True,0.527549971886904,2019
124,Male,23,Merit,B.Tech,CSE,2,False,0.8103367505273544,2022
125,Male,21,Management,B.Tech,AI,2,False,0.7358734519031314,2022
126,Male,19,Management,B.Tech,CSE,4,False,0.48582402498925137,2019
127,Female,26,Merit,B.Tech,IT,5,False,0.6213225998767735,2021
128,Female,21,Merit,M.Tech,CSE,1,False,0.787239219472832,2021
129,Male,26,Merit,B.Tech,DS,5,False,0.5643767831122205,2021
130,Male,19,Management,MCA,CSE,3,False,0.9939477273680709,2021
131,Male,24,Merit,M.Tech,AI,3,True,0.42242028762048744,2022
132,Male,22,Merit,M.Tech,IT,2,False,0.806845784081103,2021
133,Male,25,Merit,B.Tech,AI,1,True,0.3523298638536386,2021
134,Male,25,Merit,MCA,DS,2,True,0.9925739523447066,2020
135,Female,21,Merit,B.Tech,DS,5,False,0.8776063572571039,2019
136,Male,21,Merit,B.Tech,AI,2,False,0.8449705384276942,2019
137,Male,25,Management,M.Tech,IT,3,False,0.8180725781013156,2022
138,Female,20,Merit,M.Tech,AI,3,False,0.5461545642056808,2021
139,Male,24,Merit,B.Tech,IT,2,False,0.8077093449247152,2020
140,Other,25,Management,B.Tech,DS,5,False,0.6430047256941572,2022
141,Female,25,Management,B.Tech,DS,4,False,0.732456063219367,2022
142,Male,21,Management,B.Tech,IT,5,True,0.5160100880944996,2021
143,Male,26,Merit,B.Tech,DS,2,False,0.7334073108192484,2021
144,Male,21,Merit,MCA,DS,5,False,0.8924618074438865,2020
145,Male,25,Merit,MCA,DS,3,True,0.9158263540653435,2019
146,Male,23,Management,MCA,AI,1,False,0.23324800527671014,2021
